id,caption,image
298,the outlet carrying water from the faucet to the shower head is near the hot tap not the cold,ex_298_img_0
298,the outlet carrying water from the faucet to the shower head is near the cold tap not the hot,ex_298_img_1
304,The white queen is taking the black king,ex_304_img_0
304,The black queen is taking the white king,ex_304_img_1
308,a taller person is covering the eyes of a shorter person,ex_308_img_0
308,a shorter person is covering the eyes of a taller person,ex_308_img_1
309,the plant is eating the bug,ex_309_img_0
309,the bug is eating the plant,ex_309_img_1
310,every bug has a leaf,ex_310_img_0
310,every leaf has a bug,ex_310_img_1
313,the moon prevents the sun's rays from falling on the earth,ex_313_img_0
313,the earth prevents the sun's rays from falling on the moon,ex_313_img_1
314,all paper airplanes fly on a straight path except for one which takes a curved one,ex_314_img_0
314,all paper airplanes fly on a curved path except for one which takes a straight one,ex_314_img_1
316,a kid jumped then threw a basketball,ex_316_img_0
316,a kid threw a basketball then jumped,ex_316_img_1
321,someone babys a pet,ex_321_img_0
321,someone pets a baby,ex_321_img_1
328,the person wearing a sweater stands in front of the person who isn't wearing a sweater,ex_328_img_0
328,the person who isn't wearing a sweater stands in front of the person wearing a sweater,ex_328_img_1
329,a person without glasses pushes a person with glasses sitting in a box,ex_329_img_0
329,a person with glasses pushes a person without glasses sitting in a box,ex_329_img_1
331,soon this animal not with a tail will have one,ex_331_img_0
331,soon this animal with a tail will not have one,ex_331_img_1
332,a mouse is touching a dog,ex_332_img_0
332,a dog is touching a mouse,ex_332_img_1
334,that person dusting off their hands,ex_334_img_0
335,a person wearing black shoes cleaning a bookshelf with an orange duster while a person wearing green shoes drinks wine from an orange glass and relaxes,ex_335_img_0
335,a person wearing green shoes cleaning a bookshelf with an orange duster while a person wearing black shoes drinks wine from an orange glass and relaxes,ex_335_img_1
336,a person with short hair is happily ironing a light blue shirt while a person with long hair sits on a white couch,ex_336_img_0
336,a person with long hair is happily ironing a light blue shirt while a person with short hair sits on a white couch,ex_336_img_1
339,a bird cooking a person,ex_339_img_0
339,a person cooking a bird,ex_339_img_1
341,a person wearing yellow with their feet in the air and a person wearing stripes,ex_341_img_0
341,a person wearing stripes with their feet in the air and a person wearing yellow,ex_341_img_1
344,A person sits next to a baby using an orange screwdriver to assemble a white piece of furniture,ex_344_img_0
344,A baby sits next to a person using an orange screwdriver to assemble a white piece of furniture,ex_344_img_1
345,a worker in a yellow hat uses a drill to the left of where the opening in the wall is,ex_345_img_0
345,the opening in the wall is to the left of where a worker in a yellow hat uses a drill,ex_345_img_1
347,A right hand pulls a glove onto a left hand,ex_347_img_0
347,A left hand pulls a glove onto a right hand,ex_347_img_1
350,one ear that some donkey is whispering a secret into,ex_350_img_0
350,donkey ear that some one is whispering a secret into,ex_350_img_1
351,walking someone cut lines into green plants,ex_351_img_0
351,someone walking lines cut into green plants,ex_351_img_1
352,a volcano above water makes steam,ex_352_img_0
352,water above a volcano makes steam,ex_352_img_1
354,an adult putting a helmet on a child,ex_354_img_0
354,a child putting a helmet on an adult,ex_354_img_1
356,a fencer who is wearing black pants having a point scored against them by another fencer using a wheelchair,ex_356_img_0
356,a fencer having a point scored against them by another fencer who is wearing black pants using a wheelchair,ex_356_img_1
358,"in the stadium, the person wearing gray outperformed the one wearing blue",ex_358_img_0
358,"in the stadium, the person wearing blue outperformed the one wearing gray",ex_358_img_1
368,a person is touching the head of a squirrel,ex_368_img_0
368,a squirrel is touching the head of a person,ex_368_img_1
371,an animal giving a person food,ex_371_img_0
371,a person giving an animal food,ex_371_img_1
374,two people wearing clothes of the same colors are on different side of the tennis net,ex_374_img_0
374,two people wearing clothes of different colors are on the same side of the tennis net,ex_374_img_1
376,a person near water using a lasso,ex_376_img_0
384,a person supports a small chair,ex_384_img_0
384,a chair supports a small person,ex_384_img_1
385,a person smiles at another person wearing a checked shirt who is hitting a ping pong ball,ex_385_img_0
385,a person wearing a checked shirt smiles at another person who is hitting a ping pong ball,ex_385_img_1
391,The worker wears something striped over a white undershirt with a collar,ex_391_img_0
391,The worker wears something white over a striped undershirt with a collar,ex_391_img_1
392,A person seen from above has a grid below them,ex_392_img_0
392,A person seen from below has a grid above them,ex_392_img_1
395,They have sunglasses over their hair,ex_395_img_0
395,They have hair over their sunglasses,ex_395_img_1
399,someone is overdoing it,ex_399_img_0
399,someone is doing it over,ex_399_img_1
